Original graph: Graph(num_nodes=21858, num_edges=10896322,
      ndata_schemes={'alphafold_feat': Scheme(shape=(384,), dtype=torch.float32)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32)})
Subgraph: Graph(num_nodes=1000, num_edges=22956,
      ndata_schemes={'alphafold_feat': Scheme(shape=(384,), dtype=torch.float32), '_ID': Scheme(shape=(), dtype=torch.int64)}
      edata_schemes={'weight': Scheme(shape=(), dtype=torch.float32), '_ID': Scheme(shape=(), dtype=torch.int64)})
Number of nodes in subgraph: 1000
Number of edges in subgraph: 22956
Data Loading is completed
Total Number of Edges:  22840
Train Number of Edges:  15988
Valid Number of Edges:  4568
Test Number of Edges:  2284
Graph Splitting is completed
For Feature: alphafold_feat ; Sage Model
Epoch: 00 | Iteration: 00000 | Loss: 0.6932 | Training Accuracy: 53.5156 | AUC Score: 0.5431
Epoch: 00 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 60.7925 | AUC Score: 0.6183
Epoch: 01 | Iteration: 00000 | Loss: 0.6415 | Training Accuracy: 59.4727 | AUC Score: 0.6096
Epoch: 01 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 60.8800 | AUC Score: 0.6222
Epoch: 02 | Iteration: 00000 | Loss: 0.6553 | Training Accuracy: 57.6172 | AUC Score: 0.5602
Epoch: 02 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 60.9895 | AUC Score: 0.6249
Epoch: 03 | Iteration: 00000 | Loss: 0.6426 | Training Accuracy: 59.4727 | AUC Score: 0.5973
Epoch: 03 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 61.0989 | AUC Score: 0.6295
Epoch: 04 | Iteration: 00000 | Loss: 0.6371 | Training Accuracy: 58.8867 | AUC Score: 0.5905
Epoch: 04 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 60.9567 | AUC Score: 0.6353
Epoch: 05 | Iteration: 00000 | Loss: 0.6321 | Training Accuracy: 59.2773 | AUC Score: 0.6134
Epoch: 05 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 62.4781 | AUC Score: 0.6520
Epoch: 06 | Iteration: 00000 | Loss: 0.6366 | Training Accuracy: 59.0820 | AUC Score: 0.6205
Epoch: 06 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.1786 | AUC Score: 0.6613
Epoch: 07 | Iteration: 00000 | Loss: 0.6441 | Training Accuracy: 61.3281 | AUC Score: 0.6199
Epoch: 07 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 62.6970 | AUC Score: 0.6644
Epoch: 08 | Iteration: 00000 | Loss: 0.6350 | Training Accuracy: 61.7188 | AUC Score: 0.6500
Epoch: 08 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.1677 | AUC Score: 0.6676
Epoch: 09 | Iteration: 00000 | Loss: 0.6326 | Training Accuracy: 60.3516 | AUC Score: 0.6353
Epoch: 09 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.1130 | AUC Score: 0.6686
Epoch: 10 | Iteration: 00000 | Loss: 0.6289 | Training Accuracy: 62.3047 | AUC Score: 0.6602
Epoch: 10 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.2553 | AUC Score: 0.6737
Epoch: 11 | Iteration: 00000 | Loss: 0.6270 | Training Accuracy: 62.1094 | AUC Score: 0.6594
Epoch: 11 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.9011 | AUC Score: 0.6759
Epoch: 12 | Iteration: 00000 | Loss: 0.6301 | Training Accuracy: 61.8164 | AUC Score: 0.6505
Epoch: 12 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.6384 | AUC Score: 0.6775
Epoch: 13 | Iteration: 00000 | Loss: 0.6214 | Training Accuracy: 62.5977 | AUC Score: 0.6757
Epoch: 13 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.8135 | AUC Score: 0.6805
Epoch: 14 | Iteration: 00000 | Loss: 0.6281 | Training Accuracy: 61.2305 | AUC Score: 0.6551
Epoch: 14 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.9558 | AUC Score: 0.6804
Epoch: 15 | Iteration: 00000 | Loss: 0.6164 | Training Accuracy: 62.4023 | AUC Score: 0.6694
Epoch: 15 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 63.9558 | AUC Score: 0.6874
Epoch: 16 | Iteration: 00000 | Loss: 0.6193 | Training Accuracy: 62.6953 | AUC Score: 0.6769
Epoch: 16 | Iteration: 00000 | Loss: 0.0000 | Validation Accuracy: 64.5031 | AUC Score: 0.6904
